prompt_idx,group_id,is_outlier,hit,jaccard,span_coverage,candidates_examined,overhead_ms,donor_id
32,9,1,1,0.5728,0.7209,1,3.6662,4e892e6947214e64bec612bd5bea9453
33,18,0,0,0.0000,0.0000,0,0.5570,
34,1,0,0,0.0000,0.0000,0,0.6102,
35,3,0,0,0.0000,0.0000,0,0.6080,
36,5,0,1,0.5441,0.2442,1,3.6163,24128e34b6644273be2136e1f0a08571
37,6,0,0,0.0000,0.0000,0,0.5875,
38,17,0,1,0.5208,0.2432,1,3.7562,f3ba4c9a899843579aa0b5a430cab5d1
39,0,0,1,0.5378,0.4825,2,3.6120,b7037e24e2b24d7e806463aaf103c8e7
40,7,0,1,0.5617,0.2451,1,3.6364,2a53d216dec9426cb6fbef6054bd93cf
41,12,0,1,0.9208,0.9650,1,3.6260,9151110d6fb74634aa2dcf7ef5d94973
42,13,0,0,0.0000,0.0000,1,0.6371,
43,10,0,1,0.5364,0.2442,1,3.5436,0a510b7df23a4efa9b314793e1571c35
44,8,0,0,0.0000,0.0000,0,0.6397,
45,18,0,0,0.0000,0.0000,1,0.5935,
46,19,0,1,0.5457,0.4825,1,3.6509,814af7aecb5b4f6f9c925a1759600e05
47,8,1,0,0.0000,0.0000,0,0.6608,
48,14,0,1,0.5240,0.2423,1,3.5825,30fc1f0fac1e420890a0f4fdf7d08e8c
49,13,0,1,0.5631,0.7220,1,3.6591,bf69a20fe4bd4d928901225caa6a0dd8
50,1,0,1,0.5408,0.4806,1,3.7210,c9570d473d1d4e2197c18d369210a27b
51,8,0,1,0.5441,0.4826,2,3.8412,b24aad426948409ebe011d07426bc648
52,15,0,0,0.0000,0.0000,0,0.5856,
53,6,0,0,0.0000,0.0000,1,0.6368,
54,10,0,1,0.5631,0.7220,2,4.0007,0a510b7df23a4efa9b314793e1571c35
55,6,0,0,0.0000,0.0000,0,0.5965,
56,4,0,0,0.0000,0.0000,0,0.5411,
57,5,0,1,0.5224,0.2423,1,3.6540,24128e34b6644273be2136e1f0a08571
58,4,0,0,0.0000,0.0000,1,0.6549,
59,2,0,0,0.0000,0.0000,0,0.6135,
60,14,0,1,0.5271,0.2442,2,3.6251,30fc1f0fac1e420890a0f4fdf7d08e8c
61,3,0,0,0.0000,0.0000,0,0.5861,
62,14,0,0,0.0000,0.0000,2,0.8194,
63,1,0,0,0.0000,0.0000,0,0.5959,
64,7,0,0,0.0000,0.0000,0,0.6009,
65,17,0,1,0.5317,0.2451,2,3.5779,2e4f58d956374a4389223808171c1024
66,8,0,1,0.5271,0.2442,1,3.6064,4a959742cb7c44c6be230a8dc5c6fd04
67,14,0,1,0.5269,0.2423,3,3.7207,48ce256d0a09407ba2582858b0468b85
68,0,0,0,0.0000,0.0000,1,0.6821,
69,19,0,1,0.5424,0.4808,2,3.6600,49895a314c944e7d8cef126a78730c7f
70,0,0,1,0.5285,0.2423,3,3.6109,234a67c5c0154228afb2428c2fe5fbb4
71,10,0,1,0.8750,0.2432,3,3.7016,452df833aaa449d5819bfe77cf79ed77
72,7,0,1,0.5271,0.2451,3,3.6120,8644467d6676494fb71395a925579d06
73,13,0,1,0.5583,0.7181,2,3.5698,bf69a20fe4bd4d928901225caa6a0dd8
74,10,0,0,0.0000,0.0000,0,0.5982,
75,5,0,0,0.0000,0.0000,0,0.6206,
76,18,0,1,0.8815,0.2442,1,3.5675,4aa53466b85e42cab9793828b377dfa3
77,11,0,0,0.0000,0.0000,0,0.6380,
78,6,0,1,0.5754,0.7154,2,3.8108,ab325456af474096a4b4ea18d54387f4
79,2,0,0,0.0000,0.0000,1,0.6266,
80,6,0,0,0.0000,0.0000,1,0.6646,
81,5,0,1,0.5317,0.2451,1,3.5266,ad13ce5c32874d85912b15bb529e71bd
82,18,0,1,0.5657,0.4808,1,3.7002,bff3b1ec6e3647d48055fcf534c9ff50
83,4,0,1,0.5285,0.2423,2,3.6420,9b9c8d6c35354b4c8d8f2f991a376f55
84,12,1,1,0.5285,0.2442,2,3.7013,42c7a46ef5ec44eb9070c14c9c110adb
85,2,0,1,0.5532,0.7154,3,3.6991,9c42590b96154a4986dbf5306e0a4dea
86,6,0,0,0.0000,0.0000,1,0.6894,
87,10,0,1,0.8745,0.2442,4,3.6771,3c52aa7a54a943078ab27006e8333f80
88,3,1,1,0.5331,0.2442,1,3.5902,4db943a1473647ee8a89639fb4e32c16
89,15,0,0,0.0000,0.0000,0,0.5436,
90,9,0,0,0.0000,0.0000,0,0.6247,
91,4,0,1,0.5394,0.2442,3,3.8662,167782b5ea8b4bb5933165377fd3a281
92,8,0,1,0.5424,0.4826,3,3.7383,9b00722e30ce44349d49ba3fa6edac20
93,0,0,1,0.5271,0.2442,3,3.5969,234a67c5c0154228afb2428c2fe5fbb4
94,16,0,0,0.0000,0.0000,0,0.6092,
95,13,0,0,0.0000,0.0000,1,0.7264,
96,11,0,1,0.5271,0.2442,1,3.5276,2dc442805fef4d4dbd8cb272e1a1b780
97,13,0,0,0.0000,0.0000,3,0.7554,
98,7,0,1,0.5424,0.4826,2,3.6707,8644467d6676494fb71395a925579d06
99,6,0,1,0.9313,0.4864,2,3.7922,e55d474f48d74a498ef793027c6331df
100,6,0,1,0.5285,0.2442,1,3.6252,cf68954a425c43438d7c2d1cb9e37e21
101,10,0,0,0.0000,0.0000,0,0.5870,
102,14,0,1,0.5394,0.2442,4,3.7211,48ce256d0a09407ba2582858b0468b85
103,16,0,0,0.0000,0.0000,0,0.6129,
104,17,0,1,0.5776,0.4961,4,3.8311,089cbfc2b26b4603b52b72274d4247cc
105,16,0,0,0.0000,0.0000,0,0.5988,
106,0,0,0,0.0000,0.0000,0,0.5906,
107,0,0,1,0.5714,0.4825,3,3.6786,9b63345628db45cb9cb83da455159d9e
108,1,0,0,0.0000,0.0000,0,0.6623,
109,15,1,1,0.5317,0.2451,3,3.7637,24128e34b6644273be2136e1f0a08571
110,18,0,1,0.5535,0.2674,3,3.7022,a722a241578045529741db5f1da1d75c
111,17,0,0,0.0000,0.0000,0,0.5815,
112,9,0,0,0.0000,0.0000,0,0.5956,
113,17,0,0,0.0000,0.0000,1,0.5729,
114,0,0,0,0.0000,0.0000,0,0.5363,
115,13,0,1,0.5378,0.4769,4,3.7097,bf69a20fe4bd4d928901225caa6a0dd8
116,4,0,1,0.9170,0.4806,4,3.7661,c0d0aad080de4be28fcbaac46d69a4f9
117,13,1,0,0.0000,0.0000,0,0.6205,
118,10,0,0,0.0000,0.0000,0,0.5561,
119,13,0,1,0.5285,0.2432,4,3.6659,ce61830f323148818c4626a43f7d0d4d
120,4,1,1,0.5562,0.4769,7,3.8095,2cd59418530e4af7a990af59e8c97534
121,3,0,1,0.5741,0.7181,2,3.6752,b5b16bf79f17438fa34e870b61659615
122,3,0,1,0.5938,0.4942,1,3.6577,b5b16bf79f17438fa34e870b61659615
123,9,0,1,0.5631,0.2674,1,3.5745,ed585fa21ec249219c182e2ab947990a
124,7,0,1,0.5569,0.2451,1,3.5553,2a53d216dec9426cb6fbef6054bd93cf
125,7,0,1,0.5441,0.4826,4,3.6607,2a53d216dec9426cb6fbef6054bd93cf
126,3,0,1,0.5422,0.2423,1,3.7439,327f7826981845f8bbf13dad12e5658d
127,13,0,1,0.5457,0.4825,3,3.6699,c8bc08a226264d1285a48f83c8449edd
128,5,0,1,0.5378,0.4769,1,3.5616,d30cc92bc47147169fa0f01bcff93aa5
129,15,0,0,0.0000,0.0000,0,0.7222,
130,0,0,1,0.5468,0.2423,4,3.7522,84293f8505d1449495820d453d87e132
131,12,0,1,0.5255,0.2432,2,3.7307,c57747460a984d188eb440e81f48b41f
132,19,0,0,0.0000,0.0000,0,0.5503,
133,17,0,1,0.5285,0.2442,4,3.6951,c96eb8a3f0ce4dd9a0c5f03ecdd36bfc
134,1,0,1,0.5950,0.5077,2,3.7589,c9570d473d1d4e2197c18d369210a27b
135,17,0,1,0.5240,0.2423,2,3.6284,307fb9e2f96b4ed1b240dbc5848ced99
136,19,0,1,0.5224,0.2423,2,3.6985,4e892e6947214e64bec612bd5bea9453
137,4,0,1,0.9316,0.4961,5,3.6975,8962cbabaffc4175b27ad8c36f4206f2
138,15,0,1,0.5468,0.2423,2,3.7115,144820bfbd0e4c8c8ec5ccb990a107d4
139,5,0,0,0.0000,0.0000,1,0.6199,
140,6,0,1,0.5269,0.2442,1,3.6637,ab325456af474096a4b4ea18d54387f4
141,14,1,1,0.5269,0.2423,4,3.7300,167782b5ea8b4bb5933165377fd3a281
142,8,0,1,0.5549,0.7154,3,3.6512,570a82bc029f419386e9acd63a96fe65
143,19,0,1,0.5269,0.2423,3,3.7532,814af7aecb5b4f6f9c925a1759600e05
144,3,0,1,0.5468,0.2423,4,3.8075,327f7826981845f8bbf13dad12e5658d
145,16,0,0,0.0000,0.0000,0,0.6009,
146,0,0,1,0.5441,0.4826,2,3.8068,9b63345628db45cb9cb83da455159d9e
147,19,0,1,0.5569,0.2451,3,3.6340,49895a314c944e7d8cef126a78730c7f
148,1,1,1,0.9313,0.4825,2,3.5539,2dc442805fef4d4dbd8cb272e1a1b780
149,10,0,1,0.8650,0.4769,5,3.7545,c6ad683b78ea41379ee971eaa3171be2
150,19,0,1,0.8681,0.4806,4,3.7279,75d3c647eeaf4f838fdcb78cf9db4dd5
151,15,0,0,0.0000,0.0000,1,0.6006,
152,17,0,1,0.5361,0.4769,4,3.8105,c586401311d147ccb6cc7b5110130b3b
153,11,0,0,0.0000,0.0000,0,0.6353,
154,12,0,1,0.5455,0.2432,3,3.8003,7da0b7dd0b61473da72410716228199b
155,14,0,1,0.5285,0.2432,3,3.7963,ccb274335495451081231ccd9df26314
156,15,0,1,0.5763,0.2802,1,3.6572,b22e6b5bc044450d810c022d885a0104
157,19,0,1,0.5617,0.2451,2,3.6527,90a0d8de11f9434d9be6c64f7bc8eeed
158,10,0,1,0.5600,0.7209,3,3.6197,0a510b7df23a4efa9b314793e1571c35
159,2,0,0,0.0000,0.0000,1,0.5755,
160,12,0,1,0.5410,0.4825,1,3.5853,60f8d2518611471da27f0668d416a965
161,1,0,0,0.0000,0.0000,0,0.5495,
162,12,0,0,0.0000,0.0000,0,0.6398,
163,3,0,1,0.5610,0.4808,5,4.1073,327f7826981845f8bbf13dad12e5658d
164,13,0,1,0.5438,0.4808,4,3.7758,62e851e1533943bca18dd73c8b773ffc
165,10,0,1,0.5408,0.2432,6,3.8279,452df833aaa449d5819bfe77cf79ed77
166,7,0,1,0.5648,0.7248,5,3.6916,2a53d216dec9426cb6fbef6054bd93cf
167,19,0,1,0.5271,0.2442,4,3.6979,e832fc5b4eec43cbbedea5bbbab43a02
168,16,0,1,0.5408,0.4808,2,3.6784,a0c7c4783abb4fec90f8f73e902eb07c
169,19,0,0,0.0000,0.0000,1,0.6251,
170,5,0,1,0.5505,0.4845,2,3.6324,d30cc92bc47147169fa0f01bcff93aa5
171,16,0,1,0.5617,0.2451,2,3.5620,d16b760f39c04e97aa888685c77931c2
172,15,0,1,0.5617,0.2451,2,3.6289,db07fe853e904cb5857f507785440f2d
173,15,0,1,0.8718,0.4788,2,3.7253,144820bfbd0e4c8c8ec5ccb990a107d4
174,10,0,0,0.0000,0.0000,1,0.6702,
175,13,0,1,0.5285,0.2442,2,3.7611,076fcca68bbf42bea010c62ac72d5c55
176,9,0,1,0.5317,0.2451,1,3.5960,ed585fa21ec249219c182e2ab947990a
177,9,0,1,0.5763,0.4864,4,3.6392,2369b59ce4824b059328e4e7f9666a31
178,1,0,1,0.5408,0.4769,1,3.7306,9c2f0aa139b14465ace55b20df8af040
179,2,0,0,0.0000,0.0000,2,0.6454,
180,11,0,0,0.0000,0.0000,0,0.5968,
181,19,0,1,0.5285,0.2423,6,3.7923,49895a314c944e7d8cef126a78730c7f
182,2,0,1,0.5754,0.7154,3,3.7604,561c782205cb4bb7ba04f768ffb2c636
183,6,0,1,0.5408,0.2432,3,3.8003,cf68954a425c43438d7c2d1cb9e37e21
184,2,0,1,0.9462,0.4825,2,3.6135,711351e2ab4748c1940c25989bf0c636
185,5,0,0,0.0000,0.0000,0,0.6037,
186,6,0,1,0.5741,0.5097,4,3.7132,3be4dce71362443abdd399b1d82f9e8c
187,5,0,0,0.0000,0.0000,2,0.6498,
188,12,0,1,0.8640,0.2451,1,3.6074,5aac2e6d537c4855b7aa11e417477382
189,1,0,1,0.5224,0.2442,1,3.6456,040b0aa9b448408699ba6b7c4e2cd605
190,12,0,1,0.5617,0.2451,2,3.6389,c57747460a984d188eb440e81f48b41f
191,1,0,1,0.5378,0.4825,3,3.8194,372aea68397e4820a74fc03d2e9e6e18
192,6,0,1,0.5271,0.2451,7,3.8095,aa5cc1a9a7db4b8fb2e220e3ba8716c3
193,3,0,1,0.8922,0.4806,3,3.7440,fd3b26cdf93e4f3eb18c398c57fb73d1
194,1,0,1,0.5394,0.2442,1,3.5653,24149d61ab9e4722a5b32eaa25dc2cfe
195,14,0,1,0.5549,0.4788,4,3.8158,4b30e4c48cf040ccb04088ece62a98ef
196,13,0,1,0.5471,0.4864,4,3.7905,3dde0309286a400da9f1a0d1440e10fb
197,11,0,1,0.5569,0.2451,1,3.5444,c6254df97acc44ce91a49dc43df77157
198,17,0,1,0.5394,0.4825,3,3.6675,c96eb8a3f0ce4dd9a0c5f03ecdd36bfc
199,2,1,1,0.5925,0.5078,2,3.8381,60f8d2518611471da27f0668d416a965
200,5,0,1,0.5422,0.2423,4,3.7220,70ed6a9091cf4574bb0f1950f753d44a
201,11,0,1,0.5441,0.4826,3,3.6588,2dc442805fef4d4dbd8cb272e1a1b780
202,16,1,1,0.5644,0.2548,5,3.7843,cf68954a425c43438d7c2d1cb9e37e21
203,0,0,1,0.5408,0.4845,2,3.9843,5d704ae53ce140aaaa79fc8e19cc74a4
204,7,0,1,0.5714,0.4825,6,3.9747,9d829fe814ec4b40b137dc87820536ee
205,11,0,0,0.0000,0.0000,1,0.6681,
206,8,0,1,0.8681,0.4769,3,3.6443,9b00722e30ce44349d49ba3fa6edac20
207,3,0,1,0.8755,0.2423,4,3.7787,327f7826981845f8bbf13dad12e5658d
208,10,0,1,0.8750,0.2432,8,4.0120,45f87fbba7c84b9abc1e064fbbd5a92d
209,16,0,0,0.0000,0.0000,0,0.5939,
210,1,0,1,0.8545,0.2423,3,3.7818,7b4ba34622b747e5af20a65195cd52e2
211,8,0,1,0.5410,0.4825,1,3.5668,8b70d5c6543f4d98a5fcd920c4c8cf72
212,3,0,1,0.5441,0.2442,4,3.7414,910b394c0d0542a78ceae21bd3e1dbb9
213,18,0,1,0.5468,0.2423,3,3.7149,bff3b1ec6e3647d48055fcf534c9ff50
214,17,0,1,0.8922,0.7237,3,3.6670,3866c0cc77304e789da8e3200dea230d
215,12,0,0,0.0000,0.0000,0,0.6337,
216,17,0,1,0.5912,0.7237,2,3.6379,90c6c25afa1546e7a7c5b97a3d92fe32
217,18,0,1,0.5583,0.2674,2,3.6294,4aa53466b85e42cab9793828b377dfa3
218,16,0,1,0.5392,0.4826,1,3.6808,f1567653bd474cd1970da521b4d85efe
219,3,0,1,0.5424,0.4806,2,3.6172,c535268f3b1e4cbab3b841495ba12848
220,12,0,0,0.0000,0.0000,2,0.7557,
221,17,1,1,0.5240,0.2423,1,3.6619,e0f6c96b42744c37955eaa4c81928985
222,12,0,1,0.5813,0.2802,4,3.7338,c57747460a984d188eb440e81f48b41f
223,5,0,1,0.5610,0.2577,3,3.6943,e9985750d17a4591ac1901ec921c190a
224,10,0,1,0.9173,0.9538,6,3.7978,a99e869c2fed4237b04d560f61f4d2df
225,6,0,1,0.5617,0.2451,6,3.7890,c692a2a5696f4120b2e2cfa3a8198fd5
226,0,0,1,0.5422,0.2423,2,3.7309,5d704ae53ce140aaaa79fc8e19cc74a4
227,2,0,0,0.0000,0.0000,0,0.5379,
228,16,0,1,0.5317,0.2451,3,3.6728,a0c7c4783abb4fec90f8f73e902eb07c
229,11,0,1,0.5714,0.4825,3,3.6103,2dc442805fef4d4dbd8cb272e1a1b780
230,6,0,1,0.5549,0.4788,4,3.7743,a9bf233bb8ca41c99cf975366b0b4216
231,1,0,1,0.5535,0.4806,6,3.7512,7b4ba34622b747e5af20a65195cd52e2
232,0,1,1,0.5741,0.4788,7,3.7570,67769c66e08a4af7a317c564d3bfa064
233,6,0,1,0.8509,0.2423,9,3.9023,c692a2a5696f4120b2e2cfa3a8198fd5
234,18,0,1,0.5285,0.2432,1,3.6466,56412577f0d149ef9c09430766dc16ed
235,17,0,1,0.5455,0.2432,4,3.7360,c96eb8a3f0ce4dd9a0c5f03ecdd36bfc
236,4,0,1,0.5378,0.4788,3,3.8284,8962cbabaffc4175b27ad8c36f4206f2
237,14,0,1,0.5285,0.2451,3,3.8242,ce40553b3c15468bbe9ea9bf8e27086a
238,14,0,1,0.5471,0.4826,1,3.6579,5827b3b7ca3a4985a24da2aff24a7e1a
239,16,0,1,0.5468,0.2423,3,3.6897,19161e76227c473a8c1c763fc43219f7
240,5,0,1,0.5317,0.2451,4,3.6781,0b6d0a19caab4bc8b37f4f2c8f93ff52
241,11,0,1,0.5317,0.2442,2,3.6908,21fec7c2997a44a7b115a2c4465b4038
242,15,0,0,0.0000,0.0000,3,0.6996,
243,2,0,1,0.5714,0.2802,4,3.6975,5417cbfd166e4dd5b1ef6cfa7a8d9c5d
244,18,0,1,0.5285,0.2442,6,3.7668,4d69361e715341afa1d17a00a7225c76
245,11,0,1,0.5317,0.2451,2,3.6692,cc7adc052b6947cdbdc629af075cd0b5
246,3,0,1,0.5644,0.2548,2,3.7382,c535268f3b1e4cbab3b841495ba12848
247,7,0,1,0.5271,0.2442,3,3.6374,a4f337b6723941c58406bf425a91e1be
248,16,0,1,0.5471,0.4826,6,3.8960,a0c7c4783abb4fec90f8f73e902eb07c
249,0,0,1,0.5285,0.2432,2,3.6617,3d6609f16c2346b69dd706d17b1d655e
250,7,0,1,0.5912,0.7237,6,3.7442,2a53d216dec9426cb6fbef6054bd93cf
251,7,0,1,0.5424,0.4788,5,3.7122,2296cbd0087c442e85fe9c992fc700c4
252,2,0,1,0.5424,0.4825,1,3.6451,ea78bb4869b94d5280aa7457e0f2c3a8
253,18,0,1,0.8713,0.4825,4,3.7309,81c394301fae4a53b8ce26241a022a45
254,15,0,1,0.5441,0.2442,3,3.5972,cb546c2946e24248911b2e53a215eaf6
255,4,0,0,0.0000,0.0000,0,0.5963,
256,0,0,1,0.5441,0.4825,2,3.6024,d4f8d51a6bfa43dcbdb74ea31d71d23b
257,15,0,1,0.5224,0.2423,1,3.5808,cb546c2946e24248911b2e53a215eaf6
258,3,0,1,0.5285,0.2451,2,3.6150,baa863a381af422f842b219aed28e042
259,1,0,1,0.5392,0.4826,5,3.7561,040b0aa9b448408699ba6b7c4e2cd605
260,1,0,1,0.5802,0.2692,2,3.7634,380569af383c403481f1a97f97b23284
261,11,0,1,0.5441,0.4864,5,3.8126,27ed6e791ef64926b1990bc9411d3a59
262,16,0,1,0.8778,0.4806,3,3.5807,d16b760f39c04e97aa888685c77931c2
263,4,0,1,0.5408,0.4806,7,3.8185,2a5a3702409447e4a7d3155506a2c49e
264,11,0,1,0.5317,0.2442,1,3.6549,21fec7c2997a44a7b115a2c4465b4038
265,9,0,1,0.5468,0.2423,1,3.6512,9a57eede47eb429da9c8bcb42cc4af03
266,11,1,1,0.5240,0.2451,3,3.6830,380569af383c403481f1a97f97b23284
267,18,1,1,0.5776,0.4961,2,3.6488,2c21ffcd4271423ea11eba569f2bce1b
268,16,0,1,0.9023,0.2451,4,3.6652,d4f5a62e01d34e77897c6f26577cb6fa
269,7,0,1,0.5285,0.2423,4,3.6800,1656e11ad6c543b194c52b54e855b742
270,14,0,1,0.5569,0.2451,10,3.8513,5c50361b515a49b3a52a669ff29e1596
271,7,0,1,0.5410,0.4825,6,3.7731,2296cbd0087c442e85fe9c992fc700c4
272,13,0,1,0.5208,0.2423,1,3.6395,4db943a1473647ee8a89639fb4e32c16
273,18,0,1,0.5596,0.7192,4,3.7776,4aa53466b85e42cab9793828b377dfa3
274,2,0,1,0.9313,0.4864,5,3.6986,5417cbfd166e4dd5b1ef6cfa7a8d9c5d
275,12,0,1,0.5666,0.2451,4,3.6813,9dd3939228244a18bc97b62bb95cc370
276,15,0,1,0.5299,0.2471,1,4.2304,c7d633b1d29b4b809747a3665270752e
277,19,0,1,0.5422,0.2423,2,3.7400,b400ef4e8b2e4cf19d25f32a5cd5e82d
278,0,0,1,0.5301,0.2432,3,3.7358,0b53a7634ee54f0f931b85918471777b
279,11,0,1,0.8848,0.4845,4,3.6821,e745f84343184eed96f47af36111febb
280,16,0,1,0.9278,0.9650,8,3.8490,a0c7c4783abb4fec90f8f73e902eb07c
281,15,0,1,0.5361,0.4806,2,3.7109,548983b1feb8445bbf34f5e1567d10ea
282,12,0,1,1.0000,1.0000,4,3.6767,92ecdcb36ccc476ea12595a1add369b4
283,9,0,0,0.0000,0.0000,0,0.6524,
284,6,1,1,0.5938,0.7490,4,3.7951,9cba618e4d6b4834a8aa86fdbef21c4c
285,13,0,1,0.5763,0.4825,3,3.7389,804b84f3316749c8b86c5a043cc63d80
286,3,0,1,0.8922,0.4769,3,3.6693,b2972f89a32642f19d6a8d94a5771a58
287,2,0,1,0.8540,0.2432,1,3.5730,e0e8522a1acf4e8abd753a459d42dd52
288,15,0,1,0.8778,0.4845,5,3.7739,b22e6b5bc044450d810c022d885a0104
289,12,0,1,0.5617,0.2451,6,3.8398,bee665bc0b59477e89102134acda9e23
290,14,0,1,0.8571,0.2442,5,3.7414,30fc1f0fac1e420890a0f4fdf7d08e8c
291,9,0,1,0.5269,0.2442,1,3.5910,fded37d9e6744a23a89ee944efe3d31a
292,4,0,0,0.0000,0.0000,1,0.6286,
293,16,0,1,0.5457,0.4845,6,3.7358,0c3e206c966742e9ac8e5d06a2a78c92
294,13,0,1,0.8955,0.2674,4,3.7218,e2ac63865a8144babe18846064d6cd9b
295,8,0,1,0.5706,0.2731,4,3.7312,5c9d6aac1e334fdb9d6b74459aa95c47
296,10,0,1,0.5361,0.4769,2,3.6760,3c52aa7a54a943078ab27006e8333f80
297,4,0,0,0.0000,0.0000,1,0.6256,
298,8,0,1,0.8745,0.4788,3,3.6728,d6c234d4c58c4ede85493e6c7a12e5ca
299,4,0,1,0.5441,0.4826,1,3.5992,9b9c8d6c35354b4c8d8f2f991a376f55
300,4,0,1,0.5392,0.4769,9,3.9029,b584724f8741497298c54fb2ec680525
301,9,0,1,0.8713,0.4788,2,3.7198,f63ebb237c954b8092a1a4ede9cd0633
302,19,1,1,0.5468,0.2423,3,3.7066,9a57eede47eb429da9c8bcb42cc4af03
303,14,0,1,0.8509,0.2451,9,3.8943,76d046b6b94e4deca582bc51cd17e8b5
304,4,0,1,0.8713,0.4825,2,3.6665,780867dfae824bf79d0c61aaadfe3674
305,3,0,1,0.5422,0.2423,3,3.7653,30a23e1d60fc43498aa070a5363006f9
306,17,0,1,0.5657,0.2692,6,3.8803,b94f776d9046419a9f5339f36219c692
307,9,0,1,0.5438,0.4788,4,3.7561,9a57eede47eb429da9c8bcb42cc4af03
308,19,0,1,0.5562,0.2577,3,3.7718,b400ef4e8b2e4cf19d25f32a5cd5e82d
309,9,0,1,0.5631,0.4806,5,3.7557,ed585fa21ec249219c182e2ab947990a
310,9,0,1,0.5763,0.4864,2,3.6788,2369b59ce4824b059328e4e7f9666a31
311,11,0,1,0.5408,0.4808,3,3.7166,e9da6725c0614bd897aad1a45fe73b65
312,5,0,1,0.5424,0.4825,4,3.6902,ea25feb7a0e946e1943bd4df1fd2f9ea
313,18,0,1,0.5776,0.4961,7,3.8288,536aac7337364c6598460e485e259707
314,5,1,1,0.5802,0.2692,4,3.7115,fcd7fc5cd3394d7e9dbbd1baf8e5a391
315,9,0,1,0.9173,0.9612,4,3.7831,55f9a8bbdd3e42fc954b819fe9027aed
316,18,0,1,0.5240,0.2451,1,3.6463,a32f6547efb9462dbcecba10b2f44150
317,11,0,1,0.5394,0.2442,6,3.7976,afe862bf77dd4171a820416bac5d2cb1
318,19,0,1,0.8745,0.2442,5,3.6766,4e892e6947214e64bec612bd5bea9453
319,2,0,1,0.8922,0.7237,6,3.8514,561c782205cb4bb7ba04f768ffb2c636
